bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
hr466,115,hr466-115,hr,https://api.propublica.org/congress/v1/115/bills/hr466.json,Sex Trafficking Demand Reduction Act,Rep.,H001059,Randy Hultgren,IL,R,https://www.congress.gov/bill/115th-congress/house-bill/466,https://www.govtrack.us/congress/bills/115/hr466,2017-01-12,False,,,,,25,8,17,House Foreign Affairs Committee,['HSFA'],International Affairs
hr467,115,hr467-115,hr,https://api.propublica.org/congress/v1/115/bills/hr467.json,VA Scheduling Accountability Act,Rep.,W000813,Jackie Walorski,IN,R,https://www.congress.gov/bill/115th-congress/house-bill/467,https://www.govtrack.us/congress/bills/115/hr467,2017-01-12,True,2017-05-24,,,,2,1,1,Senate Veterans' Affairs Committee,"['SSVA', 'HSGO', 'HSVR']",Armed Forces and National Security
hr468,115,hr468-115,hr,https://api.propublica.org/congress/v1/115/bills/hr468.json,Foreign Spill Protection Act of 2017,Rep.,C001107,Carlos Curbelo,FL,R,https://www.congress.gov/bill/115th-congress/house-bill/468,https://www.govtrack.us/congress/bills/115/hr468,2017-01-12,True,,,,,46,28,18,House Transportation and Infrastructure Committee,['HSPW'],Environmental Protection
hr469,115,hr469-115,hr,https://api.propublica.org/congress/v1/115/bills/hr469.json,Congressional Article I Powers Strengthening Act,Rep.,C001093,Doug Collins,GA,R,https://www.congress.gov/bill/115th-congress/house-bill/469,https://www.govtrack.us/congress/bills/115/hr469,2017-01-12,True,2017-10-25,,,,21,,21,Senate Judiciary Committee,"['SSJU', 'HSJU']",Government Operations and Politics
hr470,115,hr470-115,hr,https://api.propublica.org/congress/v1/115/bills/hr470.json,Fair Franchise Act of 2017,Rep.,E000288,Keith Ellison,MN,D,https://www.congress.gov/bill/115th-congress/house-bill/470,https://www.govtrack.us/congress/bills/115/hr470,2017-01-12,False,,,,,3,3,,House Judiciary Committee,['HSJU'],Commerce
hr471,115,hr471-115,hr,https://api.propublica.org/congress/v1/115/bills/hr471.json,Small Business Administration Franchise Loan Transparency Act of 2017,Rep.,E000288,Keith Ellison,MN,D,https://www.congress.gov/bill/115th-congress/house-bill/471,https://www.govtrack.us/congress/bills/115/hr471,2017-01-12,False,,,,,4,4,,House Energy and Commerce Committee,['HSIF'],Commerce
hr472,115,hr472-115,hr,https://api.propublica.org/congress/v1/115/bills/hr472.json,Safe Recovery and Community Empowerment Act,Rep.,I000056,Darrell Issa,CA,R,https://www.congress.gov/bill/115th-congress/house-bill/472,https://www.govtrack.us/congress/bills/115/hr472,2017-01-12,False,,,,,7,1,6,House Judiciary Committee,['HSJU'],Housing and Community Development
hr473,115,hr473-115,hr,https://api.propublica.org/congress/v1/115/bills/hr473.json,Military LAND Act,Rep.,I000056,Darrell Issa,CA,R,https://www.congress.gov/bill/115th-congress/house-bill/473,https://www.govtrack.us/congress/bills/115/hr473,2017-01-12,False,,,,,1,,1,House Natural Resources Committee,['HSII'],Public Lands and Natural Resources
hr474,115,hr474-115,hr,https://api.propublica.org/congress/v1/115/bills/hr474.json,Interim Consolidated Storage Act of 2017,Rep.,I000056,Darrell Issa,CA,R,https://www.congress.gov/bill/115th-congress/house-bill/474,https://www.govtrack.us/congress/bills/115/hr474,2017-01-12,False,,,,,24,10,14,House Energy and Commerce Committee,['HSIF'],Energy
hr475,115,hr475-115,hr,https://api.propublica.org/congress/v1/115/bills/hr475.json,"To designate the exclusive economic zone of the United States as the ""Ronald Wilson Reagan Exclusive Economic Zone of the United States"".",Rep.,I000056,Darrell Issa,CA,R,https://www.congress.gov/bill/115th-congress/house-bill/475,https://www.govtrack.us/congress/bills/115/hr475,2017-01-12,False,,,,,15,,15,House Natural Resources Committee,['HSII'],Public Lands and Natural Resources
hr476,115,hr476-115,hr,https://api.propublica.org/congress/v1/115/bills/hr476.json,VET Act,Rep.,N000189,Dan Newhouse,WA,R,https://www.congress.gov/bill/115th-congress/house-bill/476,https://www.govtrack.us/congress/bills/115/hr476,2017-01-12,False,,,,,19,6,13,House Veterans' Affairs Committee,['HSVR'],Armed Forces and National Security
hr477,115,hr477-115,hr,https://api.propublica.org/congress/v1/115/bills/hr477.json,"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2017",Rep.,H001058,Bill Huizenga,MI,R,https://www.congress.gov/bill/115th-congress/house-bill/477,https://www.govtrack.us/congress/bills/115/hr477,2017-01-12,True,2017-12-07,,,,10,2,8,"Senate Banking, Housing, and Urban Affairs Committee","['SSBK', 'HSBA']",Finance and Financial Sector
hr478,115,hr478-115,hr,https://api.propublica.org/congress/v1/115/bills/hr478.json,IRGC Terrorist Sanctions Act of 2017,Rep.,P000592,Ted Poe,TX,R,https://www.congress.gov/bill/115th-congress/house-bill/478,https://www.govtrack.us/congress/bills/115/hr478,2017-01-12,False,,,,,9,2,7,House Foreign Affairs Committee,['HSFA'],International Affairs
hr479,115,hr479-115,hr,https://api.propublica.org/congress/v1/115/bills/hr479.json,North Korea State Sponsor of Terrorism Designation Act of 2017,Rep.,P000592,Ted Poe,TX,R,https://www.congress.gov/bill/115th-congress/house-bill/479,https://www.govtrack.us/congress/bills/115/hr479,2017-01-12,True,2017-04-03,,,,6,1,5,Senate Foreign Relations Committee,"['SSFR', 'HSFA']",International Affairs
hr480,115,hr480-115,hr,https://api.propublica.org/congress/v1/115/bills/hr480.json,Student Loan Opportunity Act of 2017,Rep.,F000461,Bill Flores,TX,R,https://www.congress.gov/bill/115th-congress/house-bill/480,https://www.govtrack.us/congress/bills/115/hr480,2017-01-12,False,,,,,9,1,8,House Ways and Means Committee,['HSWM'],Taxation
hr481,115,hr481-115,hr,https://api.propublica.org/congress/v1/115/bills/hr481.json,REBUILD Act,Rep.,C000059,Ken Calvert,CA,R,https://www.congress.gov/bill/115th-congress/house-bill/481,https://www.govtrack.us/congress/bills/115/hr481,2017-01-12,False,,,,,0,,,House Natural Resources Committee,['HSII'],Environmental Protection
hr482,115,hr482-115,hr,https://api.propublica.org/congress/v1/115/bills/hr482.json,Local Zoning Decisions Protection Act of 2017,Rep.,G000565,Paul Gosar,AZ,R,https://www.congress.gov/bill/115th-congress/house-bill/482,https://www.govtrack.us/congress/bills/115/hr482,2017-01-12,False,,,,,25,,25,House Financial Services Committee,['HSBA'],Housing and Community Development
hr483,115,hr483-115,hr,https://api.propublica.org/congress/v1/115/bills/hr483.json,No Funding for Sanctuary Campuses Act,Rep.,H001048,Duncan D. Hunter,CA,R,https://www.congress.gov/bill/115th-congress/house-bill/483,https://www.govtrack.us/congress/bills/115/hr483,2017-01-12,False,,,,,22,,22,House Education and Labor,['HSED'],Education
hr484,115,hr484-115,hr,https://api.propublica.org/congress/v1/115/bills/hr484.json,DRAIN the SWAMP Act,Rep.,D000191,Peter A. DeFazio,OR,D,https://www.congress.gov/bill/115th-congress/house-bill/484,https://www.govtrack.us/congress/bills/115/hr484,2017-01-12,False,,,,,4,4,,House Judiciary Committee,['HSJU'],Crime and Law Enforcement
hr485,115,hr485-115,hr,https://api.propublica.org/congress/v1/115/bills/hr485.json,Ensuring Diverse Leadership Act of 2017,Rep.,B001281,Joyce Beatty,OH,D,https://www.congress.gov/bill/115th-congress/house-bill/485,https://www.govtrack.us/congress/bills/115/hr485,2017-01-12,False,,,,,13,13,,House Financial Services Committee,['HSBA'],Finance and Financial Sector
hr486,115,hr486-115,hr,https://api.propublica.org/congress/v1/115/bills/hr486.json,Grant's Law,Rep.,B001302,Andy Biggs,AZ,R,https://www.congress.gov/bill/115th-congress/house-bill/486,https://www.govtrack.us/congress/bills/115/hr486,2017-01-12,False,,,,,24,,24,House Judiciary Committee,['HSJU'],Immigration
