bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
hr1,113,hr1-113,hr,https://api.propublica.org/congress/v1/113/bills/hr1.json,Tax Reform Act of 2014,Rep.,C000071,Dave Camp,MI,R,https://www.congress.gov/bill/113th-congress/house-bill/1,https://www.govtrack.us/congress/bills/113/hr1,2014-12-10,False,,,,,0,,,House Ways and Means Committee,['HSWM'],Taxation
hr2,113,hr2-113,hr,https://api.propublica.org/congress/v1/113/bills/hr2.json,American Energy Solutions for Lower Costs and More American Jobs Act,Rep.,T000459,Lee Terry,NE,R,https://www.congress.gov/bill/113th-congress/house-bill/2,https://www.govtrack.us/congress/bills/113/hr2,2014-09-15,True,2014-09-18,,,,15,,15,House Energy and Commerce Committee,"['HSII', 'HSSY', 'HSJU', 'HSPW', 'HSIF']",Energy
hr3,113,hr3-113,hr,https://api.propublica.org/congress/v1/113/bills/hr3.json,Northern Route Approval Act,Rep.,T000459,Lee Terry,NE,R,https://www.congress.gov/bill/113th-congress/house-bill/3,https://www.govtrack.us/congress/bills/113/hr3,2013-03-15,True,2013-05-22,,,,134,2,132,House Natural Resources Committee,"['HSII', 'HSPW', 'HSIF']",Energy
hr4,113,hr4-113,hr,https://api.propublica.org/congress/v1/113/bills/hr4.json,Jobs for America Act,Rep.,C000071,Dave Camp,MI,R,https://www.congress.gov/bill/113th-congress/house-bill/4,https://www.govtrack.us/congress/bills/113/hr4,2014-09-15,True,2014-09-18,,,,4,,4,House Judiciary Committee,"['HSWM', 'HSSM', 'HSII', 'HSAG', 'HSBA', 'HSJU', 'HSRU', 'HSGO', 'HSBU']",Economics and Public Finance
hr5,113,hr5-113,hr,https://api.propublica.org/congress/v1/113/bills/hr5.json,Student Success Act,Rep.,K000363,John Kline,MN,R,https://www.congress.gov/bill/113th-congress/house-bill/5,https://www.govtrack.us/congress/bills/113/hr5,2013-06-06,True,2013-07-19,,,,12,,12,"Senate Health, Education, Labor, and Pensions Committee","['SSHR', 'HSED', 'HSBA']",Education
hr6,113,hr6-113,hr,https://api.propublica.org/congress/v1/113/bills/hr6.json,Domestic Prosperity and Global Freedom Act,Rep.,G000562,Cory Gardner,CO,R,https://www.congress.gov/bill/113th-congress/house-bill/6,https://www.govtrack.us/congress/bills/113/hr6,2014-03-06,True,2014-06-25,,,,62,4,58,House Energy and Commerce Committee,['HSIF'],Energy
hr7,113,hr7-113,hr,https://api.propublica.org/congress/v1/113/bills/hr7.json,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2014,Rep.,S000522,Christopher H. Smith,NJ,R,https://www.congress.gov/bill/113th-congress/house-bill/7,https://www.govtrack.us/congress/bills/113/hr7,2013-05-14,True,2014-01-28,,,,171,4,167,Senate Finance Committee,"['SSFI', 'HSJU', 'HSIF', 'HSWM']",Health
hr8,113,hr8-113,hr,https://api.propublica.org/congress/v1/113/bills/hr8.json,,,B000589,John A. Boehner,OH,R,https://www.congress.gov/bill/113th-congress/house-bill/8,https://www.govtrack.us/congress/bills/113/hr8,2013-01-03,,,,,,0,,,,[],
hr9,113,hr9-113,hr,https://api.propublica.org/congress/v1/113/bills/hr9.json,,,B000589,John A. Boehner,OH,R,https://www.congress.gov/bill/113th-congress/house-bill/9,https://www.govtrack.us/congress/bills/113/hr9,2013-01-03,,,,,,0,,,,[],
hr10,113,hr10-113,hr,https://api.propublica.org/congress/v1/113/bills/hr10.json,Success and Opportunity through Quality Charter Schools Act,Rep.,K000363,John Kline,MN,R,https://www.congress.gov/bill/113th-congress/house-bill/10,https://www.govtrack.us/congress/bills/113/hr10,2014-04-01,True,2014-05-09,,,,22,4,18,"Senate Health, Education, Labor, and Pensions Committee","['SSHR', 'HSED']",Education
hr11,113,hr11-113,hr,https://api.propublica.org/congress/v1/113/bills/hr11.json,Violence Against Women Reauthorization Act of 2013,Rep.,M001160,Gwen Moore,WI,D,https://www.congress.gov/bill/113th-congress/house-bill/11,https://www.govtrack.us/congress/bills/113/hr11,2013-01-22,False,,,,,200,201,,House Education and the Workforce Committee,"['HSII', 'HSBA', 'HSED', 'HSIF', 'HSJU']",Crime and Law Enforcement
hr12,113,hr12-113,hr,https://api.propublica.org/congress/v1/113/bills/hr12.json,Voter Empowerment Act of 2013,Rep.,L000287,John Lewis,GA,D,https://www.congress.gov/bill/113th-congress/house-bill/12,https://www.govtrack.us/congress/bills/113/hr12,2013-01-23,False,,,,,179,179,,House Education and the Workforce Committee,"['HSED', 'HSGO', 'HSVR', 'HSSY', 'HSJU', 'HSHA']",Government Operations and Politics
hr13,113,hr13-113,hr,https://api.propublica.org/congress/v1/113/bills/hr13.json,,,P000197,Nancy Pelosi,CA,D,https://www.congress.gov/bill/113th-congress/house-bill/13,https://www.govtrack.us/congress/bills/113/hr13,2013-01-03,,,,,,0,,,,[],
hr14,113,hr14-113,hr,https://api.propublica.org/congress/v1/113/bills/hr14.json,,,P000197,Nancy Pelosi,CA,D,https://www.congress.gov/bill/113th-congress/house-bill/14,https://www.govtrack.us/congress/bills/113/hr14,2013-01-03,,,,,,0,,,,[],
hr15,113,hr15-113,hr,https://api.propublica.org/congress/v1/113/bills/hr15.json,"Border Security, Economic Opportunity, and Immigration Modernization Act",Rep.,G000573,Joe Garcia,FL,D,https://www.congress.gov/bill/113th-congress/house-bill/15,https://www.govtrack.us/congress/bills/113/hr15,2013-10-02,True,,,,,200,197,3,"House Science, Space, and Technology Committee","['HSPW', 'HSBA', 'HSSY', 'HSBU', 'HSGO', 'HSIF', 'HSED', 'HSAG', 'HSII', 'HSAS', 'HSWM', 'HSHM', 'HSFA', 'HSJU']",Immigration
hr16,113,hr16-113,hr,https://api.propublica.org/congress/v1/113/bills/hr16.json,,,P000197,Nancy Pelosi,CA,D,https://www.congress.gov/bill/113th-congress/house-bill/16,https://www.govtrack.us/congress/bills/113/hr16,2013-01-03,,,,,,0,,,,[],
hr17,113,hr17-113,hr,https://api.propublica.org/congress/v1/113/bills/hr17.json,,,P000197,Nancy Pelosi,CA,D,https://www.congress.gov/bill/113th-congress/house-bill/17,https://www.govtrack.us/congress/bills/113/hr17,2013-01-03,,,,,,0,,,,[],
hr18,113,hr18-113,hr,https://api.propublica.org/congress/v1/113/bills/hr18.json,,,P000197,Nancy Pelosi,CA,D,https://www.congress.gov/bill/113th-congress/house-bill/18,https://www.govtrack.us/congress/bills/113/hr18,2013-01-03,,,,,,0,,,,[],
