bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
s1,116,s1-116,s,https://api.propublica.org/congress/v1/116/bills/s1.json,Strengthening America's Security in the Middle East Act of 2019,Sen.,R000595,Marco Rubio,FL,R,https://www.congress.gov/bill/116th-congress/senate-bill/1,https://www.govtrack.us/congress/bills/116/s1,2019-01-03,True,,2019-02-05,,,12,,12,,[],International Affairs
s2,116,s2-116,s,https://api.propublica.org/congress/v1/116/bills/s2.json,Fair Trade with China Enforcement Act,Sen.,R000595,Marco Rubio,FL,R,https://www.congress.gov/bill/116th-congress/senate-bill/2,https://www.govtrack.us/congress/bills/116/s2,2019-01-03,False,,,,,2,1,1,Senate Small Business and Entrepreneurship Committee,[],Foreign Trade and International Finance
s3,116,s3-116,s,https://api.propublica.org/congress/v1/116/bills/s3.json,Keeping Health Insurance Affordable Act of 2019,Sen.,C000141,Benjamin L. Cardin,MD,D,https://www.congress.gov/bill/116th-congress/senate-bill/3,https://www.govtrack.us/congress/bills/116/s3,2019-01-03,False,,,,,0,,,Senate Finance Committee,[],Health
s4,116,s4-116,s,https://api.propublica.org/congress/v1/116/bills/s4.json,LIFT (Livable Incomes for Families Today) the Middle Class Act,Sen.,H001075,Kamala Harris,CA,D,https://www.congress.gov/bill/116th-congress/senate-bill/4,https://www.govtrack.us/congress/bills/116/s4,2019-01-03,False,,,,,0,,,Senate Finance Committee,[],Taxation
s5,116,s5-116,s,https://api.propublica.org/congress/v1/116/bills/s5.json,Educational Opportunities Act,Sen.,R000595,Marco Rubio,FL,R,https://www.congress.gov/bill/116th-congress/senate-bill/5,https://www.govtrack.us/congress/bills/116/s5,2019-01-03,False,,,,,0,,,Senate Finance Committee,[],Taxation
s6,116,s6-116,s,https://api.propublica.org/congress/v1/116/bills/s6.json,EMPLEO Act,Sen.,R000595,Marco Rubio,FL,R,https://www.congress.gov/bill/116th-congress/senate-bill/6,https://www.govtrack.us/congress/bills/116/s6,2019-01-03,False,,,,,0,,,Senate Finance Committee,[],Labor and Employment
s7,116,s7-116,s,https://api.propublica.org/congress/v1/116/bills/s7.json,Extreme Risk Protection Order and Violence Prevention Act of 2019,Sen.,R000595,Marco Rubio,FL,R,https://www.congress.gov/bill/116th-congress/senate-bill/7,https://www.govtrack.us/congress/bills/116/s7,2019-01-03,False,,,,,3,1,1,Senate Judiciary Committee,[],Crime and Law Enforcement
s8,116,s8-116,s,https://api.propublica.org/congress/v1/116/bills/s8.json,Preserving Our Commitment to Homeless Veterans Act,Sen.,R000595,Marco Rubio,FL,R,https://www.congress.gov/bill/116th-congress/senate-bill/8,https://www.govtrack.us/congress/bills/116/s8,2019-01-03,False,,,,,0,,,"Senate Banking, Housing, and Urban Affairs Committee",[],Armed Forces and National Security
s9,116,s9-116,s,https://api.propublica.org/congress/v1/116/bills/s9.json,Traditional Cigar Manufacturing and Small Business Jobs Preservation Act of 2019,Sen.,R000595,Marco Rubio,FL,R,https://www.congress.gov/bill/116th-congress/senate-bill/9,https://www.govtrack.us/congress/bills/116/s9,2019-01-03,False,,,,,14,4,10,"Senate Health, Education, Labor, and Pensions Committee",[],Health
s10,116,s10-116,s,https://api.propublica.org/congress/v1/116/bills/s10.json,South Florida Clean Coastal Waters Act of 2019,Sen.,R000595,Marco Rubio,FL,R,https://www.congress.gov/bill/116th-congress/senate-bill/10,https://www.govtrack.us/congress/bills/116/s10,2019-01-03,False,,,,,1,,1,"Senate Commerce, Science, and Transportation Committee",[],Environmental Protection
s11,116,s11-116,s,https://api.propublica.org/congress/v1/116/bills/s11.json,Strengthening the National Disaster Medical System Act of 2019,Sen.,R000595,Marco Rubio,FL,R,https://www.congress.gov/bill/116th-congress/senate-bill/11,https://www.govtrack.us/congress/bills/116/s11,2019-01-03,False,,,,,1,,1,"Senate Health, Education, Labor, and Pensions Committee",[],Health
