bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
s1,115,s1-115,s,https://api.propublica.org/congress/v1/115/bills/s1.json,An original bill to provide for reconciliation pursuant to title II of the concurrent resolution on the budget for fiscal year 2018.,Sen.,E000285,Michael B. Enzi,WY,R,https://www.congress.gov/bill/115th-congress/senate-bill/1,https://www.govtrack.us/congress/bills/115/s1,2017-11-28,True,,,,,0,,,Senate Budget Committee,['SSBU'],Taxation
s2,115,s2-115,s,https://api.propublica.org/congress/v1/115/bills/s2.json,Effective Prosecution of Possession of Biological Toxins and Agents Act of 2018,Sen.,G000386,Charles E. Grassley,IA,R,https://www.congress.gov/bill/115th-congress/senate-bill/2,https://www.govtrack.us/congress/bills/115/s2,2018-12-03,True,,2018-12-18,,,3,2,1,Senate Judiciary Committee,['SSJU'],Crime and Law Enforcement
s3,115,s3-115,s,https://api.propublica.org/congress/v1/115/bills/s3.json,Anti-Pyramid Promotional Scheme Act of 2018,Sen.,H000338,Orrin G. Hatch,UT,R,https://www.congress.gov/bill/115th-congress/senate-bill/3,https://www.govtrack.us/congress/bills/115/s3,2018-12-03,False,,,,,0,,,"Senate Commerce, Science, and Transportation Committee",['SSCM'],Commerce
s4,115,s4-115,s,https://api.propublica.org/congress/v1/115/bills/s4.json,Acquitted Conduct Reform Act of 2018,Sen.,H000338,Orrin G. Hatch,UT,R,https://www.congress.gov/bill/115th-congress/senate-bill/4,https://www.govtrack.us/congress/bills/115/s4,2018-12-04,False,,,,,0,,,Senate Judiciary Committee,['SSJU'],Crime and Law Enforcement
s5,115,s5-115,s,https://api.propublica.org/congress/v1/115/bills/s5.json,Fix IOUs for Student Veterans Act of 2018,Sen.,G000562,Cory Gardner,CO,R,https://www.congress.gov/bill/115th-congress/senate-bill/5,https://www.govtrack.us/congress/bills/115/s5,2018-12-04,False,,,,,1,1,,Senate Veterans' Affairs Committee,['SSVA'],Armed Forces and National Security
s6,115,s6-115,s,https://api.propublica.org/congress/v1/115/bills/s6.json,Lifelong Learning and Training Account Act of 2018,Sen.,W000805,Mark Warner,VA,D,https://www.congress.gov/bill/115th-congress/senate-bill/6,https://www.govtrack.us/congress/bills/115/s6,2018-11-26,False,,,,,1,1,,Senate Finance Committee,['SSFI'],Taxation
s7,115,s7-115,s,https://api.propublica.org/congress/v1/115/bills/s7.json,NASA Enhanced Use Leasing Extension Act of 2018,Sen.,W000437,Roger Wicker,MS,R,https://www.congress.gov/bill/115th-congress/senate-bill/7,https://www.govtrack.us/congress/bills/115/s7,2018-11-27,True,2018-12-20,2018-12-06,,,0,,,"Senate Commerce, Science, and Transportation Committee",['SSCM'],"Science, Technology, Communications"
s8,115,s8-115,s,https://api.propublica.org/congress/v1/115/bills/s8.json,Timely Review of Infrastructure Act,Sen.,C001075,Bill Cassidy,LA,R,https://www.congress.gov/bill/115th-congress/senate-bill/8,https://www.govtrack.us/congress/bills/115/s8,2018-11-27,False,,,,,2,,2,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s9,115,s9-115,s,https://api.propublica.org/congress/v1/115/bills/s9.json,Innovators to Entrepreneurs Act of 2018,Sen.,C001088,Christopher A. Coons,DE,D,https://www.congress.gov/bill/115th-congress/senate-bill/9,https://www.govtrack.us/congress/bills/115/s9,2018-11-27,False,,,,,1,,1,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],"Science, Technology, Communications"
s10,115,s10-115,s,https://api.propublica.org/congress/v1/115/bills/s10.json,A bill to amend the Internal Revenue Code of 1986 to exclude from gross income certain Federally-subsidized loan repayments for dental school faculty.,Sen.,C000141,Benjamin L. Cardin,MD,D,https://www.congress.gov/bill/115th-congress/senate-bill/10,https://www.govtrack.us/congress/bills/115/s10,2018-11-27,False,,,,,1,,1,Senate Finance Committee,['SSFI'],Taxation
