bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
s1,113,s1-113,s,https://api.propublica.org/congress/v1/113/bills/s1.json,Immigration Reform that Works for America's Future Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/113th-congress/senate-bill/1,https://www.govtrack.us/congress/bills/113/s1,2013-01-22,False,,,,,15,15,,Senate Judiciary Committee,['SSJU'],Immigration
s2,113,s2-113,s,https://api.propublica.org/congress/v1/113/bills/s2.json,Sandy Hook Elementary School Violence Reduction Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/113th-congress/senate-bill/2,https://www.govtrack.us/congress/bills/113/s2,2013-01-22,False,,,,,16,16,,Senate Judiciary Committee,['SSJU'],Crime and Law Enforcement
s3,113,s3-113,s,https://api.propublica.org/congress/v1/113/bills/s3.json,Strengthen our Schools and Students Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/113th-congress/senate-bill/3,https://www.govtrack.us/congress/bills/113/s3,2013-01-22,False,,,,,16,15,,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Education
s4,113,s4-113,s,https://api.propublica.org/congress/v1/113/bills/s4.json,Rebuild America Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/113th-congress/senate-bill/4,https://www.govtrack.us/congress/bills/113/s4,2013-01-22,False,,,,,14,14,,"Senate Commerce, Science, and Transportation Committee",['SSCM'],Economics and Public Finance
s5,113,s5-113,s,https://api.propublica.org/congress/v1/113/bills/s5.json,A bill to reauthorize the Violence Against Women Act of 1994.,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/113th-congress/senate-bill/5,https://www.govtrack.us/congress/bills/113/s5,2013-01-22,False,,,,,31,30,,Senate Judiciary Committee,['SSJU'],Crime and Law Enforcement
s6,113,s6-113,s,https://api.propublica.org/congress/v1/113/bills/s6.json,Putting Our Veterans Back to Work Act of 2013,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/113th-congress/senate-bill/6,https://www.govtrack.us/congress/bills/113/s6,2013-01-22,False,,,,,25,24,,Senate Veterans' Affairs Committee,['SSVA'],Armed Forces and National Security
s7,113,s7-113,s,https://api.propublica.org/congress/v1/113/bills/s7.json,Extreme Weather Prevention and Resilience Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/113th-congress/senate-bill/7,https://www.govtrack.us/congress/bills/113/s7,2013-01-22,False,,,,,21,20,,"Senate Commerce, Science, and Transportation Committee",['SSCM'],"Science, Technology, Communications"
s8,113,s8-113,s,https://api.propublica.org/congress/v1/113/bills/s8.json,End Wasteful Tax Loopholes Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/113th-congress/senate-bill/8,https://www.govtrack.us/congress/bills/113/s8,2013-01-22,False,,,,,14,13,,Senate Finance Committee,['SSFI'],Taxation
s9,113,s9-113,s,https://api.propublica.org/congress/v1/113/bills/s9.json,Clean and Fair Elections Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/113th-congress/senate-bill/9,https://www.govtrack.us/congress/bills/113/s9,2013-01-22,False,,,,,19,18,,Senate Rules and Administration Committee,['SSRA'],Government Operations and Politics
s10,113,s10-113,s,https://api.propublica.org/congress/v1/113/bills/s10.json,"Agriculture Reform, Food, and Jobs Act of 2013",Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/113th-congress/senate-bill/10,https://www.govtrack.us/congress/bills/113/s10,2013-01-22,False,,,,,19,19,,"Senate Agriculture, Nutrition, and Forestry Committee",['SSAF'],Agriculture and Food
