bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
hr1709,112,hr1709-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1709.json,Force Protection and Readiness Act,Rep.,S000480,Louise M. Slaughter,NY,D,https://www.congress.gov/bill/112th-congress/house-bill/1709,https://www.govtrack.us/congress/bills/112/hr1709,2011-05-04,,,,,,1,1,,House Armed Services,[],Armed forces and national security
hr1710,112,hr1710-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1710.json,Nuclear Used Fuel Prize Act of 2011,Rep.,B001248,Michael C. Burgess,TX,R,https://www.congress.gov/bill/112th-congress/house-bill/1710,https://www.govtrack.us/congress/bills/112/hr1710,2011-05-04,,,,,,0,,,"House Science, Space, and Technology; House Ways and Means",[],Energy
hr1711,112,hr1711-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1711.json,Child Care Criminal Background Check Act of 2011,Rep.,C001072,André Carson,IN,D,https://www.congress.gov/bill/112th-congress/house-bill/1711,https://www.govtrack.us/congress/bills/112/hr1711,2011-05-04,,,,,,7,7,,House Education and the Workforce,[],Families
hr1712,112,hr1712-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1712.json,Job Creation and Energy Security Act of 2011,Rep.,C001075,Bill Cassidy,LA,R,https://www.congress.gov/bill/112th-congress/house-bill/1712,https://www.govtrack.us/congress/bills/112/hr1712,2011-05-04,,,,,,67,8,61,House Ways and Means,[],Taxation
hr1713,112,hr1713-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1713.json,Federal Cost Reduction Act of 2011,Rep.,C001078,Gerald E. Connolly,VA,D,https://www.congress.gov/bill/112th-congress/house-bill/1713,https://www.govtrack.us/congress/bills/112/hr1713,2011-05-04,,,,,,1,1,,House Oversight and Government Reform; House Armed Services; House Transportation and Infrastructure; House Energy and Commerce,[],Government operations and politics
hr1714,112,hr1714-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1714.json,Iran Human Rights and Democracy Promotion Act of 2011,Rep.,D000613,Robert Dold,IL,R,https://www.congress.gov/bill/112th-congress/house-bill/1714,https://www.govtrack.us/congress/bills/112/hr1714,2011-05-04,,,,,,4,1,3,House Foreign Affairs; House Financial Services; House Judiciary; House Ways and Means,[],International affairs
hr1715,112,hr1715-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1715.json,Multilingual Services Accounting Act,Rep.,F000450,Virginia Foxx,NC,R,https://www.congress.gov/bill/112th-congress/house-bill/1715,https://www.govtrack.us/congress/bills/112/hr1715,2011-05-04,,,,,,11,,11,House Oversight and Government Reform,[],Government operations and politics
hr1716,112,hr1716-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1716.json,Job Opportunities Between our Shores Act,Rep.,H000874,Steny H. Hoyer,MD,D,https://www.congress.gov/bill/112th-congress/house-bill/1716,https://www.govtrack.us/congress/bills/112/hr1716,2011-05-04,,,,,,34,34,1,House Education and the Workforce,[],Labor and employment
hr1717,112,hr1717-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1717.json,Balancing Trade Act of 2011,Rep.,K000009,Marcy Kaptur,OH,D,https://www.congress.gov/bill/112th-congress/house-bill/1717,https://www.govtrack.us/congress/bills/112/hr1717,2011-05-04,,,,,,6,6,,House Ways and Means,[],Foreign trade and international finance
hr1718,112,hr1718-112,hr,https://api.propublica.org/congress/v1/112/bills/hr1718.json,United States Cadet Nurse Corps Equity Act,Rep.,L000480,Nita M. Lowey,NY,D,https://www.congress.gov/bill/112th-congress/house-bill/1718,https://www.govtrack.us/congress/bills/112/hr1718,2011-05-04,,,,,,14,12,3,House Veterans' Affairs; House Armed Services,[],Armed forces and national security
