bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
hr1,116,hr1-116,hr,https://api.propublica.org/congress/v1/116/bills/hr1.json,For the People Act of 2019,Rep.,S001168,John Sarbanes,MD,D,https://www.congress.gov/bill/116th-congress/house-bill/1,https://www.govtrack.us/congress/bills/116/hr1,1/3/2019,TRUE,3/8/2019,,,,236,236,,House Homeland Security Committee,['HSJU'],Government Operations and Politics
hr3,116,hr3-116,hr,https://api.propublica.org/congress/v1/116/bills/hr3.json,Elijah E. Cummings Lower Drug Costs Now Act,Rep.,P000034,Frank Pallone,NJ,D,https://www.congress.gov/bill/116th-congress/house-bill/3,https://www.govtrack.us/congress/bills/116/hr3,9/19/2019,TRUE,12/12/2019,,,,106,106,,House Education and Labor Committee,[],Health
hr4,116,hr4-116,hr,https://api.propublica.org/congress/v1/116/bills/hr4.json,Voting Rights Advancement Act of 2019,Rep.,S001185,Terri Sewell,AL,D,https://www.congress.gov/bill/116th-congress/house-bill/4,https://www.govtrack.us/congress/bills/116/hr4,2/26/2019,TRUE,12/6/2019,,,,229,229,,Senate Judiciary Committee,['HSJU'],Government Operations and Politics
hr5,116,hr5-116,hr,https://api.propublica.org/congress/v1/116/bills/hr5.json,Equality Act,Rep.,C001084,David Cicilline,RI,D,https://www.congress.gov/bill/116th-congress/house-bill/5,https://www.govtrack.us/congress/bills/116/hr5,3/13/2019,TRUE,5/17/2019,,,,240,237,3,Senate Judiciary Committee,['HSJU'],"Civil Rights and Liberties, Minority Issues"
hr6,116,hr6-116,hr,https://api.propublica.org/congress/v1/116/bills/hr6.json,American Dream and Promise Act of 2019,Rep.,R000486,Lucille Roybal-Allard,CA,D,https://www.congress.gov/bill/116th-congress/house-bill/6,https://www.govtrack.us/congress/bills/116/hr6,3/12/2019,TRUE,6/4/2019,,,,232,232,,House Judiciary Committee,['HSJU'],Immigration
hr7,116,hr7-116,hr,https://api.propublica.org/congress/v1/116/bills/hr7.json,Paycheck Fairness Act,Rep.,D000216,Rosa DeLauro,CT,D,https://www.congress.gov/bill/116th-congress/house-bill/7,https://www.govtrack.us/congress/bills/116/hr7,1/30/2019,TRUE,3/27/2019,,,,239,238,1,House Education and Labor Committee,[],Labor and Employment
hr8,116,hr8-116,hr,https://api.propublica.org/congress/v1/116/bills/hr8.json,Bipartisan Background Checks Act of 2019,Rep.,T000460,Mike Thompson,CA,D,https://www.congress.gov/bill/116th-congress/house-bill/8,https://www.govtrack.us/congress/bills/116/hr8,1/8/2019,TRUE,2/27/2019,,,,232,227,5,House Judiciary Committee,['HSJU'],Crime and Law Enforcement
hr9,116,hr9-116,hr,https://api.propublica.org/congress/v1/116/bills/hr9.json,Climate Action Now Act,Rep.,C001066,Kathy Castor,FL,D,https://www.congress.gov/bill/116th-congress/house-bill/9,https://www.govtrack.us/congress/bills/116/hr9,3/27/2019,TRUE,5/2/2019,,,,224,224,,House Energy and Commerce Committee,['HSFA'],Environmental Protection
hr19,116,hr19-116,hr,https://api.propublica.org/congress/v1/116/bills/hr19.json,"Lower Costs, More Cures Act of 2019",Rep.,W000791,Greg Walden,OR,R,https://www.congress.gov/bill/116th-congress/house-bill/19,https://www.govtrack.us/congress/bills/116/hr19,12/9/2019,TRUE,,,,,146,,146,House Judiciary Committee,[],Health
hr20,116,hr20-116,hr,https://api.propublica.org/congress/v1/116/bills/hr20.json,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2019,Rep.,S000522,Christopher H. Smith,NJ,R,https://www.congress.gov/bill/116th-congress/house-bill/20,https://www.govtrack.us/congress/bills/116/hr20,1/17/2019,TRUE,,,,,160,2,158,House Judiciary Committee,[],Health
hr21,116,hr21-116,hr,https://api.propublica.org/congress/v1/116/bills/hr21.json,"Consolidated Appropriations Act, 2019",Rep.,L000480,Nita M. Lowey,NY,D,https://www.congress.gov/bill/116th-congress/house-bill/21,https://www.govtrack.us/congress/bills/116/hr21,1/3/2019,TRUE,1/3/2019,,,,0,,,House Budget Committee,['HSAP'],Economics and Public Finance
hr22,116,hr22-116,hr,https://api.propublica.org/congress/v1/116/bills/hr22.json,"To amend the Internal Revenue Code of 1986 to make permanent the increase in the standard deduction, the increase in and modifications of the child tax credit, and the repeal of the deduction for personal exemptions contained in Public Law 115-97.",Rep.,B000755,Kevin Brady,TX,R,https://www.congress.gov/bill/116th-congress/house-bill/22,https://www.govtrack.us/congress/bills/116/hr22,1/3/2019,FALSE,,,,,0,,,House Ways and Means Committee,[],Taxation
