bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
s1040,114,s1040-114,s,https://api.propublica.org/congress/v1/114/bills/s1040.json,ROV In-Depth Examination Act of 2015,Sen.,H001041,Dean Heller,NV,R,https://www.congress.gov/bill/114th-congress/senate-bill/1040,https://www.govtrack.us/congress/bills/114/s1040,2015-04-22,True,,,,,9,1,8,"Senate Commerce, Science, and Transportation Committee",['SSCM'],Transportation and Public Works
s1041,114,s1041-114,s,https://api.propublica.org/congress/v1/114/bills/s1041.json,End Polluter Welfare Act of 2015,Sen.,S000033,Bernard Sanders,VT,I,https://www.congress.gov/bill/114th-congress/senate-bill/1041,https://www.govtrack.us/congress/bills/114/s1041,2015-04-22,False,,,,,2,2,,Senate Finance Committee,['SSFI'],Energy
s1042,114,s1042-114,s,https://api.propublica.org/congress/v1/114/bills/s1042.json,COAST Anti-Drilling Act,Sen.,M000639,Robert Menendez,NJ,D,https://www.congress.gov/bill/114th-congress/senate-bill/1042,https://www.govtrack.us/congress/bills/114/s1042,2015-04-22,False,,,,,12,11,,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1043,114,s1043-114,s,https://api.propublica.org/congress/v1/114/bills/s1043.json,Invest in American Jobs Act of 2015,Sen.,M001176,Jeff Merkley,OR,D,https://www.congress.gov/bill/114th-congress/senate-bill/1043,https://www.govtrack.us/congress/bills/114/s1043,2015-04-22,False,,,,,3,2,,"Senate Commerce, Science, and Transportation Committee",['SSCM'],Transportation and Public Works
s1044,114,s1044-114,s,https://api.propublica.org/congress/v1/114/bills/s1044.json,E-Access Act,Sen.,M000133,Edward J. Markey,MA,D,https://www.congress.gov/bill/114th-congress/senate-bill/1044,https://www.govtrack.us/congress/bills/114/s1044,2015-04-22,False,,,,,0,,,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1045,114,s1045-114,s,https://api.propublica.org/congress/v1/114/bills/s1045.json,Restoring the 10th Amendment Act,Sen.,W000437,Roger Wicker,MS,R,https://www.congress.gov/bill/114th-congress/senate-bill/1045,https://www.govtrack.us/congress/bills/114/s1045,2015-04-22,False,,,,,8,,8,Senate Judiciary Committee,['SSJU'],Law
s1046,114,s1046-114,s,https://api.propublica.org/congress/v1/114/bills/s1046.json,Smart Building Acceleration Act,Sen.,C000127,Maria Cantwell,WA,D,https://www.congress.gov/bill/114th-congress/senate-bill/1046,https://www.govtrack.us/congress/bills/114/s1046,2015-04-22,False,,,,,1,,1,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1047,114,s1047-114,s,https://api.propublica.org/congress/v1/114/bills/s1047.json,"A bill to require the Secretary of Energy to review rulemaking proceedings of other Federal agencies for the potential to cause an adverse effect on the cost, time, or difficulty of complying with energy efficiency regulations, guidelines, or standards.",Sen.,A000360,Lamar Alexander,TN,R,https://www.congress.gov/bill/114th-congress/senate-bill/1047,https://www.govtrack.us/congress/bills/114/s1047,2015-04-22,False,,,,,0,,,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1048,114,s1048-114,s,https://api.propublica.org/congress/v1/114/bills/s1048.json,A bill to remove the authority of the Secretary of Energy to amend or issue new energy efficiency standards for ceiling fans.,Sen.,A000360,Lamar Alexander,TN,R,https://www.congress.gov/bill/114th-congress/senate-bill/1048,https://www.govtrack.us/congress/bills/114/s1048,2015-04-22,False,,,,,0,,,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1049,114,s1049-114,s,https://api.propublica.org/congress/v1/114/bills/s1049.json,Agricultural Export Expansion Act of 2015,Sen.,H001069,Heidi Heitkamp,ND,D,https://www.congress.gov/bill/114th-congress/senate-bill/1049,https://www.govtrack.us/congress/bills/114/s1049,2015-04-22,False,,,,,16,9,6,"Senate Banking, Housing, and Urban Affairs Committee",['SSBK'],Foreign Trade and International Finance
