bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
hr2,114,hr2-114,hr,https://api.propublica.org/congress/v1/114/bills/hr2.json,Medicare Access and CHIP Reauthorization Act of 2015,Rep.,B001248,Michael C. Burgess,TX,R,https://www.congress.gov/bill/114th-congress/house-bill/2,https://www.govtrack.us/congress/bills/114/hr2,2015-03-24,True,2015-03-26,2015-04-14,2015-04-16,,13,6,7,House Natural Resources Committee,"['HSBU', 'HSII', 'HSAG', 'HSJU', 'HSWM', 'HSIF']",Health
hr3,114,hr3-114,hr,https://api.propublica.org/congress/v1/114/bills/hr3.json,Keystone XL Pipeline Act,Rep.,C001096,Kevin Cramer,ND,R,https://www.congress.gov/bill/114th-congress/house-bill/3,https://www.govtrack.us/congress/bills/114/hr3,2015-01-06,True,2015-01-09,,,,30,,30,House Natural Resources Committee,"['HSPW', 'HSII', 'HSIF']",Energy
hr5,114,hr5-114,hr,https://api.propublica.org/congress/v1/114/bills/hr5.json,Student Success Act,Rep.,K000363,John Kline,MN,R,https://www.congress.gov/bill/114th-congress/house-bill/5,https://www.govtrack.us/congress/bills/114/hr5,2015-02-03,True,2015-07-08,,,,11,,11,House Financial Services Committee,"['HSED', 'HSBA']",Education
hr6,114,hr6-114,hr,https://api.propublica.org/congress/v1/114/bills/hr6.json,21st Century Cures Act,Rep.,U000031,Fred Upton,MI,R,https://www.congress.gov/bill/114th-congress/house-bill/6,https://www.govtrack.us/congress/bills/114/hr6,2015-05-19,True,2015-07-10,,,,230,121,109,"Senate Health, Education, Labor, and Pensions Committee","['SSHR', 'HSWM', 'HSIF']",Health
hr7,114,hr7-114,hr,https://api.propublica.org/congress/v1/114/bills/hr7.json,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2015,Rep.,S000522,Christopher H. Smith,NJ,R,https://www.congress.gov/bill/114th-congress/house-bill/7,https://www.govtrack.us/congress/bills/114/hr7,2015-01-21,True,2015-01-22,,,,29,1,28,Senate Finance Committee,"['SSFI', 'HSJU', 'HSWM', 'HSIF']","Civil Rights and Liberties, Minority Issues"
hr8,114,hr8-114,hr,https://api.propublica.org/congress/v1/114/bills/hr8.json,North American Energy Security and Infrastructure Act of 2015,Rep.,U000031,Fred Upton,MI,R,https://www.congress.gov/bill/114th-congress/house-bill/8,https://www.govtrack.us/congress/bills/114/hr8,2015-09-16,True,2015-12-03,,,,0,,,Senate Energy and Natural Resources Committee,"['SSEG', 'HSIF', 'HSFA', 'HSGO', 'HSED', 'HSSY']",Energy
hr9,114,hr9-114,hr,https://api.propublica.org/congress/v1/114/bills/hr9.json,Innovation Act,Rep.,G000289,Robert W. Goodlatte,VA,R,https://www.congress.gov/bill/114th-congress/house-bill/9,https://www.govtrack.us/congress/bills/114/hr9,2015-02-05,True,,,,,27,12,15,Senate Small Business and Entrepreneurship Committee,"['SSSB', 'HSJU', 'SSJU']",Commerce
hr10,114,hr10-114,hr,https://api.propublica.org/congress/v1/114/bills/hr10.json,SOAR Reauthorization Act,Rep.,B000589,John A. Boehner,OH,R,https://www.congress.gov/bill/114th-congress/house-bill/10,https://www.govtrack.us/congress/bills/114/hr10,2015-10-05,True,2015-10-21,,,,14,1,13,House Oversight and Reform Committee,['HSGO'],Education
hr12,114,hr12-114,hr,https://api.propublica.org/congress/v1/114/bills/hr12.json,Voter Empowerment Act of 2015,Rep.,L000287,John Lewis,GA,D,https://www.congress.gov/bill/114th-congress/house-bill/12,https://www.govtrack.us/congress/bills/114/hr12,2015-03-19,False,,,,,187,187,,House Education and Labor,"['HSED', 'HSGO', 'HSVR', 'HSSY', 'HSJU', 'HSHA']",Government Operations and Politics
hr20,114,hr20-114,hr,https://api.propublica.org/congress/v1/114/bills/hr20.json,Government By the People Act of 2015,Rep.,S001168,John Sarbanes,MD,D,https://www.congress.gov/bill/114th-congress/house-bill/20,https://www.govtrack.us/congress/bills/114/hr20,2015-01-21,False,,,,,162,161,1,House Ways and Means Committee,"['HSWM', 'HSIF', 'HSHA']",Government Operations and Politics
