bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
s1,112,s1-112,s,https://api.propublica.org/congress/v1/112/bills/s1.json,,,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/112th-congress/senate-bill/1,https://www.govtrack.us/congress/bills/112/s1,2011-01-25,,,,,,10,10,,Senate Finance,[],
s2,112,s2-112,s,https://api.propublica.org/congress/v1/112/bills/s2.json,Middle Class Success Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/112th-congress/senate-bill/2,https://www.govtrack.us/congress/bills/112/s2,2011-01-25,,,,,,8,8,,Senate Finance,[],Economics and public finance
s3,112,s3-112,s,https://api.propublica.org/congress/v1/112/bills/s3.json,Fiscal Responsibility and Spending Control Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/112th-congress/senate-bill/3,https://www.govtrack.us/congress/bills/112/s3,2011-01-25,,,,,,10,10,,Senate Finance,[],Economics and public finance
s4,112,s4-112,s,https://api.propublica.org/congress/v1/112/bills/s4.json,Make America the World's Leader in Clean Energy Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/112th-congress/senate-bill/4,https://www.govtrack.us/congress/bills/112/s4,2011-01-25,,,,,,11,11,,Senate Finance,[],Energy
s5,112,s5-112,s,https://api.propublica.org/congress/v1/112/bills/s5.json,Reform America's Schools to Educate the Leaders of the Future Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/112th-congress/senate-bill/5,https://www.govtrack.us/congress/bills/112/s5,2011-01-25,,,,,,12,12,,"Senate Health, Education, Labor, and Pensions",[],Education
s6,112,s6-112,s,https://api.propublica.org/congress/v1/112/bills/s6.json,Reform America's Broken Immigration System Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/112th-congress/senate-bill/6,https://www.govtrack.us/congress/bills/112/s6,2011-01-25,,,,,,9,9,,Senate Judiciary,[],Immigration
s7,112,s7-112,s,https://api.propublica.org/congress/v1/112/bills/s7.json,Comprehensive and Fair Tax Reform Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/112th-congress/senate-bill/7,https://www.govtrack.us/congress/bills/112/s7,2011-01-25,,,,,,6,6,,Senate Finance,[],Taxation
s8,112,s8-112,s,https://api.propublica.org/congress/v1/112/bills/s8.json,Tough and Smart National Security Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/112th-congress/senate-bill/8,https://www.govtrack.us/congress/bills/112/s8,2011-01-25,,,,,,9,9,,Senate Foreign Relations,[],Armed forces and national security
s9,112,s9-112,s,https://api.propublica.org/congress/v1/112/bills/s9.json,Political Reform and Gridlock Elimination Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/112th-congress/senate-bill/9,https://www.govtrack.us/congress/bills/112/s9,2011-01-25,,,,,,11,11,,Senate Rules and Administration,[],Government operations and politics
s10,112,s10-112,s,https://api.propublica.org/congress/v1/112/bills/s10.json,Family Economic Success Act,Sen.,R000146,Harry Reid,NV,D,https://www.congress.gov/bill/112th-congress/senate-bill/10,https://www.govtrack.us/congress/bills/112/s10,2011-01-25,,,,,,8,8,,"Senate Health, Education, Labor, and Pensions",[],Labor and employment
s11,112,s11-112,s,https://api.propublica.org/congress/v1/112/bills/s11.json,Permanent Marriage Penalty Relief Act of 2011,Sen.,H001016,Kay Bailey Hutchison,TX,R,https://www.congress.gov/bill/112th-congress/senate-bill/11,https://www.govtrack.us/congress/bills/112/s11,2011-01-25,,,,,,4,,4,Senate Finance,[],Taxation
s12,112,s12-112,s,https://api.propublica.org/congress/v1/112/bills/s12.json,Job Creation Act of 2011,Sen.,P000449,Rob Portman,OH,R,https://www.congress.gov/bill/112th-congress/senate-bill/12,https://www.govtrack.us/congress/bills/112/s12,2011-01-25,,,,,,0,,,Senate Finance,[],Economics and public finance
s13,112,s13-112,s,https://api.propublica.org/congress/v1/112/bills/s13.json,Fair Tax Act of 2011,Sen.,C000286,Saxby Chambliss,GA,R,https://www.congress.gov/bill/112th-congress/senate-bill/13,https://www.govtrack.us/congress/bills/112/s13,2011-01-25,,,,,,8,,8,Senate Finance,[],Taxation
s14,112,s14-112,s,https://api.propublica.org/congress/v1/112/bills/s14.json,,Sen.,E000194,John Ensign,NV,R,https://www.congress.gov/bill/112th-congress/senate-bill/14,https://www.govtrack.us/congress/bills/112/s14,2011-01-25,,,,,,7,,7,Senate Homeland Security and Governmental Affairs,[],Government operations and politics
s15,112,s15-112,s,https://api.propublica.org/congress/v1/112/bills/s15.json,,Sen.,V000127,David Vitter,LA,R,https://www.congress.gov/bill/112th-congress/senate-bill/15,https://www.govtrack.us/congress/bills/112/s15,2011-01-25,,,,,,0,,,Senate Environment and Public Works,[],Environmental protection
s16,112,s16-112,s,https://api.propublica.org/congress/v1/112/bills/s16.json,Patient Choice Restoration Act,Sen.,V000127,David Vitter,LA,R,https://www.congress.gov/bill/112th-congress/senate-bill/16,https://www.govtrack.us/congress/bills/112/s16,2011-01-25,,,,,,0,,,Senate Finance,[],Health
s17,112,s17-112,s,https://api.propublica.org/congress/v1/112/bills/s17.json,Medical Device Access and Innovation Protection Act,Sen.,H000338,Orrin G. Hatch,UT,R,https://www.congress.gov/bill/112th-congress/senate-bill/17,https://www.govtrack.us/congress/bills/112/s17,2011-01-25,,,,,,33,,34,Senate Finance,[],Taxation
s18,112,s18-112,s,https://api.propublica.org/congress/v1/112/bills/s18.json,Small Business Paperwork Mandate Elimination Act,Sen.,J000291,Mike Johanns,NE,R,https://www.congress.gov/bill/112th-congress/senate-bill/18,https://www.govtrack.us/congress/bills/112/s18,2011-01-25,,,,,,60,16,44,Senate Finance,[],Taxation
s19,112,s19-112,s,https://api.propublica.org/congress/v1/112/bills/s19.json,American Liberty Restoration Act,Sen.,H000338,Orrin G. Hatch,UT,R,https://www.congress.gov/bill/112th-congress/senate-bill/19,https://www.govtrack.us/congress/bills/112/s19,2011-01-25,,,,,,30,,31,Senate Finance,[],Health
